"country","gdp_pc","country_code"
"Afghanistan",507.1034319,"AFG"
"Albania",5353.244856,"ALB"
"Algeria",3973.964072,"DZA"
"Andorra",40886.39116,"AND"
"Angola",2790.726615,"AGO"
"Antigua and Barbuda",17112.82113,"ATG"
"Argentina",9912.281809,"ARG"
"Armenia",4622.733493,"ARM"
"Australia",55060.3261,"AUS"
"Austria",50137.66278,"AUT"
"Azerbaijan",4793.58702,"AZE"
"Bahamas, The",34863.7421,"BHS"
"Bahrain",23503.97713,"BHR"
"Bangladesh",1855.739824,"BGD"
"Barbados",18148.24493,"BRB"
"Belarus",6663.295293,"BLR"
"Belgium",46420.66377,"BEL"
"Belize",4815.163711,"BLZ"
"Benin",1219.432672,"BEN"
"Bermuda",117089.2863,"BMU"
"Bhutan",3316.175714,"BTN"
"Bolivia",3552.06876,"BOL"
"Bosnia and Herzegovina",6108.510696,"BIH"
"Botswana",7961.325181,"BWA"
"Brazil",8717.186278,"BRA"
"Brunei Darussalam",31086.75112,"BRN"
"Bulgaria",9828.148515,"BGR"
"Burkina Faso",786.8956313,"BFA"
"Burundi",261.2474725,"BDI"
"Cabo Verde",3603.781793,"CPV"
"Cambodia",1643.121389,"KHM"
"Cameroon",1507.450206,"CMR"
"Canada",46194.72523,"CAN"
"Central African Republic",467.9074406,"CAF"
"Chad",709.5403101,"TCD"
"Chile",14896.45387,"CHL"
"China",10261.67925,"CHN"
"Colombia",6428.676206,"COL"
"Comoros",1370.148207,"COM"
"Congo, Dem. Rep.",580.7168672,"COD"
"Congo, Rep.",2279.969131,"COG"
"Costa Rica",12243.81143,"CRI"
"Cote d'Ivoire",2276.333279,"CIV"
"Croatia",14936.10055,"HRV"
"Cyprus",27858.371,"CYP"
"Czech Republic",23494.5962,"CZE"
"Denmark",60170.34264,"DNK"
"Djibouti",3414.92487,"DJI"
"Dominica",8110.568512,"DMA"
"Dominican Republic",8282.116359,"DOM"
"Ecuador",6183.823825,"ECU"
"Egypt, Arab Rep.",3019.205829,"EGY"
"El Salvador",4187.250031,"SLV"
"Equatorial Guinea",8131.923888,"GNQ"
"Estonia",23723.30611,"EST"
"Eswatini",3894.679807,"SWZ"
"Ethiopia",855.7608623,"ETH"
"Fiji",6175.88872,"FJI"
"Finland",48782.78848,"FIN"
"France",40493.92857,"FRA"
"Gabon",7767.013404,"GAB"
"Gambia, The",777.8119321,"GMB"
"Georgia",4697.704576,"GEO"
"Germany",46445.2491,"DEU"
"Ghana",2202.115567,"GHA"
"Greece",19582.53598,"GRC"
"Grenada",10808.67212,"GRD"
"Guatemala",4619.985258,"GTM"
"Guinea",962.8399086,"GIN"
"Guinea-Bissau",697.2949269,"GNB"
"Guyana",6609.586425,"GUY"
"Haiti",1272.490925,"HTI"
"Honduras",2574.912191,"HND"
"Hong Kong SAR, China",48713.47375,"HKG"
"Hungary",16731.82151,"HUN"
"Iceland",66944.83308,"ISL"
"India",2099.599048,"IND"
"Indonesia",4135.569263,"IDN"
"Iraq",5955.10901,"IRQ"
"Ireland",78660.95646,"IRL"
"Israel",43592.08358,"ISR"
"Italy",33228.23668,"ITA"
"Jamaica",5582.263778,"JAM"
"Japan",40246.88013,"JPN"
"Jordan",4405.488412,"JOR"
"Kazakhstan",9812.390376,"KAZ"
"Kenya",1816.546916,"KEN"
"Kiribati",1655.078839,"KIR"
"Korea, Rep.",31846.21823,"KOR"
"Kuwait",32000.44847,"KWT"
"Kyrgyz Republic",1309.392992,"KGZ"
"Lao PDR",2534.89828,"LAO"
"Latvia",17828.89466,"LVA"
"Lebanon",7583.694722,"LBN"
"Lesotho",1118.131284,"LSO"
"Liberia",621.8929536,"LBR"
"Libya",7685.949267,"LBY"
"Lithuania",19601.89083,"LTU"
"Luxembourg",114704.5942,"LUX"
"Madagascar",523.3590645,"MDG"
"Malawi",411.5523404,"MWI"
"Malaysia",11414.20698,"MYS"
"Maldives",10626.5134,"MDV"
"Mali",879.0080104,"MLI"
"Malta",29820.60325,"MLT"
"Mauritania",1679.444873,"MRT"
"Mauritius",11099.24028,"MUS"
"Mexico",9946.033829,"MEX"
"Moldova",4503.516985,"MDA"
"Mongolia",4339.843279,"MNG"
"Montenegro",8908.934792,"MNE"
"Morocco",3204.095003,"MAR"
"Mozambique",503.5707727,"MOZ"
"Myanmar",1407.813143,"MMR"
"Namibia",4957.458222,"NAM"
"Nauru",9396.981967,"NRU"
"Nepal",1071.050761,"NPL"
"Netherlands",52331.31673,"NLD"
"New Zealand",42084.35337,"NZL"
"Nicaragua",1912.903745,"NIC"
"Niger",553.8950504,"NER"
"Nigeria",2229.858696,"NGA"
"North Macedonia",6022.216179,"MKD"
"Norway",75419.63487,"NOR"
"Oman",15343.062,"OMN"
"Pakistan",1284.702041,"PAK"
"Palau",14901.98353,"PLW"
"Panama",15731.01603,"PAN"
"Papua New Guinea",2829.170309,"PNG"
"Paraguay",5414.799138,"PRY"
"Peru",6977.695784,"PER"
"Philippines",3485.084218,"PHL"
"Poland",15692.50703,"POL"
"Portugal",23252.05852,"PRT"
"Puerto Rico",32873.71927,"PRI"
"Qatar",62088.06183,"QAT"
"Romania",12919.52964,"ROU"
"Russian Federation",11584.99538,"RUS"
"Rwanda",820.0252417,"RWA"
"Samoa",4324.014018,"WSM"
"Sao Tome and Principe",1946.643614,"STP"
"Saudi Arabia",23139.79866,"SAU"
"Senegal",1446.830965,"SEN"
"Serbia",7411.836116,"SRB"
"Seychelles",17448.27029,"SYC"
"Sierra Leone",527.5336344,"SLE"
"Singapore",65233.28244,"SGP"
"Slovak Republic",19266.2755,"SVK"
"Slovenia",25946.18219,"SVN"
"Solomon Islands",2373.63247,"SLB"
"South Africa",6001.400814,"ZAF"
"Spain",29600.37825,"ESP"
"Sri Lanka",3853.083693,"LKA"
"St. Kitts and Nevis",19934.97453,"KNA"
"St. Lucia",11611.41545,"LCA"
"St. Vincent and the Grenadines",7457.509504,"VCT"
"Sudan",441.5056034,"SDN"
"Suriname",6359.833614,"SUR"
"Sweden",51615.02065,"SWE"
"Switzerland",81993.72713,"CHE"
"Tajikistan",870.7875893,"TJK"
"Tanzania",1122.12181,"TZA"
"Thailand",7806.742211,"THA"
"Timor-Leste",1560.509822,"TLS"
"Togo",679.2902491,"TGO"
"Tonga",4903.152903,"TON"
"Trinidad and Tobago",17397.98176,"TTO"
"Tunisia",3317.453593,"TUN"
"Turkey",9126.561346,"TUR"
"Turks and Caicos Islands",31353.32932,"TCA"
"Tuvalu",4059.029996,"TUV"
"Uganda",794.3410779,"UGA"
"Ukraine",3659.031312,"UKR"
"United Arab Emirates",43103.32306,"ARE"
"United Kingdom",42330.11754,"GBR"
"United States",65297.51751,"USA"
"Uruguay",16190.12696,"URY"
"Uzbekistan",1724.841134,"UZB"
"Vanuatu",3115.35862,"VUT"
"Vietnam",2715.276036,"VNM"
"Yemen, Rep.",774.3344898,"YEM"
"Zambia",1305.063254,"ZMB"
"Zimbabwe",1463.98591,"ZWE"
