"overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment","country_code"
32.3,23.5,44.8,23.6,21,56.3,23.3,"AFG"
52.9,43.8,74.3,52,35.9,53,55.7,"ALB"
23.6,25.7,12,19.6,13.1,29.1,51.4,"DZA"
30.5,27.9,14.2,30.5,9.2,32.4,83.5,"AND"
25.2,24,17.9,21.7,10.9,41.4,42.2,"AGO"
29,17.8,19.1,21.7,7.4,55.1,65.2,"ATG"
58.6,41.4,74.9,50.6,54.9,68.8,60,"ARG"
50.2,56.7,60.8,55.5,25.7,50.1,50.4,"ARM"
75.5,68.9,97.3,65.9,63.5,77,79.4,"AUS"
58.5,57.4,73.2,42.3,46.6,52.8,84.6,"AUT"
34.2,30.8,45,25.5,17.9,36.2,54.2,"AZE"
30.6,24.7,21.8,30.9,7.9,46,61.4,"BHS"
39.4,36,45.8,43.2,27.7,27.8,57.8,"BHR"
35,27.3,50.9,23.1,14.7,52.5,44,"BGD"
31.9,33.3,19.1,27.2,8.5,46,69.9,"BRB"
35.3,19.4,28.9,46.6,40.6,25.8,53,"BLR"
61,63.5,62.5,47.3,60.5,59.7,78.2,"BEL"
31.8,30,30.4,25.5,9.7,49.3,53,"BLZ"
28.8,16.5,24.2,34.1,5.6,53.6,42.8,"BEN"
40.3,35.5,42.8,42,27.9,39.7,56.9,"BTN"
35.8,44,33.1,29.2,14.9,48.5,50.9,"BOL"
42.8,36.7,41.7,51.8,38.3,37.8,50.8,"BIH"
31.1,22,28.2,23.9,13.3,46.3,62.4,"BWA"
59.7,59.2,82.4,67.1,45,41.9,56.2,"BRA"
32.6,24.8,30.5,33.4,24.2,23.3,66.7,"BRN"
45.6,37.6,53.3,21.7,41,61.5,66.3,"BGR"
30.1,18,33.3,38,5.6,44.8,42.6,"BFA"
22.8,25.1,11.4,28.4,8.9,37.6,28.3,"BDI"
29.3,27.9,9.3,32.7,16.1,33.9,67.4,"CPV"
39.2,28.6,57.7,36.7,12,60,38.5,"KHM"
34.4,28.2,35.6,29.5,21.4,59.9,33.6,"CMR"
75.3,70,96.4,60.7,67.7,74.7,82.7,"CAN"
27.3,18,17.7,46.6,12.8,44.2,23,"CAF"
28.8,23.2,36.5,34.5,6.6,46.2,23.7,"TCD"
58.3,56.2,72.7,60.2,39.3,51.5,70.1,"CHL"
48.2,45,48.5,48.6,45.7,40.3,64.4,"CHN"
44.2,37.2,41.7,43.5,34.3,60.1,51,"COL"
27.2,19.2,23.2,27.1,9.4,51.6,36.5,"COM"
23.6,17.6,7,23.6,6.3,56.8,38.1,"COG"
26.5,24,25.1,31.3,11.8,45.9,20.1,"COD"
20.4,10.9,8.8,17.5,14.3,29.9,50.5,"COK"
45.1,44.2,56,36.6,24.8,43.1,71.7,"CRI"
35.5,27.3,44.5,29.7,17.1,53.6,42.7,"CIV"
53.3,55.2,72.3,32.4,46.5,49.1,68.2,"HRV"
35.2,41.4,10.5,25.9,37.4,49.8,57.8,"CUB"
43,46.4,44.9,33.9,21.9,49.1,69.6,"CYP"
52,51.1,50.7,46.6,37.4,58.9,74,"CZE"
70.4,72.9,86,58.4,63.8,62.6,80.3,"DNK"
23.2,16.3,17,23.2,9.3,36.3,42.7,"DJI"
24,11.2,10.7,20.9,8.5,49.3,54,"DMA"
38.3,30.5,37.1,47.3,16.1,43.5,59.3,"DOM"
50.1,53.9,71.2,39.5,35.2,43.5,57.1,"ECU"
39.9,36.5,41.5,45,15.7,46.4,57.5,"EGY"
44.2,22.1,73.9,42.1,25.2,50.5,48,"SLV"
16.2,1.9,4.4,17.6,5,33.5,43.6,"GNQ"
22.4,23.4,17.2,16,9.7,40,33.2,"ERI"
57,47.6,77.6,47,31.6,67.6,73.3,"EST"
31.1,35.7,25.5,29.3,6.5,46.6,48.9,"SWZ"
40.6,36.8,33.7,44.7,29,65.8,33.6,"ETH"
25.7,24.6,16.4,28.3,7.5,27.4,59.1,"FJI"
68.7,68.5,61.6,69.2,60.8,75.4,81.1,"FIN"
68.2,71.2,75.3,62.9,60.9,58.6,83,"FRA"
20,10.8,6.1,20.6,11.2,36.5,42.8,"GAB"
34.2,22,36.9,34.2,23.5,44.2,47.3,"GMB"
52,53.2,75,37.1,38.3,56,51.4,"GEO"
66,66.5,84.6,54.8,48.2,61.9,82.3,"DEU"
35.5,32.2,40.5,31.5,23.4,38,51,"GHA"
53.8,54.2,78.4,44,37.6,49.1,58.2,"GRC"
27.5,8.6,18.6,28.4,10.3,46.4,62.9,"GRD"
32.7,21.2,50,25,11.4,42.2,49.1,"GTM"
32.7,27,57.2,23,8,47.8,31.3,"GIN"
20,14,23.4,17.8,4.6,37.6,24.1,"GNB"
31.7,27.9,20.3,36.2,12.3,49.3,50.5,"GUY"
31.5,31.5,48.3,21.1,10.6,48.4,28.9,"HTI"
27.6,21.6,27.7,26.5,12,41.8,39.5,"HND"
54,56.4,55.5,52.2,36.6,58.9,68.2,"HUN"
46.3,35.3,37.2,44,46.4,43.2,81.2,"ISL"
46.5,34.9,47.4,52.4,42.7,47.7,54.4,"IND"
56.6,50.2,68.1,54.3,39.4,72.5,53.7,"IDN"
37.7,44.7,37.7,33.7,34.6,28.7,50.3,"IRN"
25.8,22.1,42.2,19.5,11.8,29.5,29.2,"IRQ"
59,63.9,78,45.1,40.2,52.8,77.4,"IRL"
47.3,44,52.4,39.9,42.2,41.5,68.8,"ISR"
56.2,47.5,78.5,47.5,36.8,61.9,65.5,"ITA"
29,20.1,24.3,24.7,10,43.1,61.2,"JAM"
59.8,49.3,70.1,53.6,46.6,70,71.7,"JPN"
42.1,31.8,42.9,47.8,27.8,48.6,55.8,"JOR"
40.7,58.8,28.2,26.6,28,52.8,59.5,"KAZ"
47.1,45.9,68.6,37.1,20.7,67.1,40.7,"KEN"
19.2,10.7,4.4,23.4,7.3,32.3,45,"KIR"
46.1,40.9,47.5,50.2,36.5,42.2,61.5,"KWT"
49.3,29.7,64.7,49.9,29.8,64.8,56.1,"KGZ"
43.1,18.9,70.4,52,19.4,45.9,46.8,"LAO"
62.9,56,97.3,54.7,47.3,51.1,67.2,"LVA"
43.1,27.3,62,47.9,23.8,49.3,45.5,"LBN"
30.2,24.4,18,33.2,20.6,45.9,44.5,"LSO"
35.1,14.3,29.1,40.5,19.9,71.5,37.4,"LBR"
25.7,23.2,36,18.9,9.1,31,39,"LBY"
43.5,43.1,22.9,34.6,31.1,56.9,87.9,"LIE"
55,43.5,81.5,33.9,34.4,72.1,67.8,"LTU"
43.8,31,41.7,27.3,37.9,52.8,84.7,"LUX"
40.1,30.1,41.9,57.8,19.2,55.4,32.4,"MDG"
28,25.5,23.3,20.7,15.3,50.7,37.6,"MWI"
62.2,51.4,73.2,61.3,57.1,58.5,72,"MYS"
33.8,21.8,25.5,40.2,18.1,45.5,58.3,"MDV"
29,23.4,25.5,29.5,13,53.2,32.1,"MLI"
37.3,35,32.9,22.4,23.6,49.1,72.3,"MLT"
18.2,7,4.4,18.1,7.2,30.7,52.3,"MHL"
27.5,9.9,39.5,24.2,17,36.3,39.5,"MRT"
34.9,27.3,42.3,34.9,15.1,29.1,66.2,"MUS"
57.6,45.5,71.2,50.8,46.9,73.9,57,"MEX"
32.8,21,14.2,56.9,18.8,36.3,53.1,"FSM"
42.9,46.5,42.9,31.1,36.4,56.7,47.1,"MDA"
32.7,11.1,23.3,26,31,35.3,83.1,"MCO"
49.5,37.6,77.3,37.8,30.8,52.6,60.8,"MNG"
43.7,36.5,55.4,32.1,29.5,53.5,58.8,"MNE"
43.7,34.6,56.8,51.5,29.5,32.7,55.9,"MAR"
28.1,26.5,29.3,18.2,17,43.8,38.4,"MOZ"
43.4,30.3,59.2,50.4,19.5,59.1,38.2,"MMR"
35.6,32,46,30.9,10.1,44.2,54.7,"NAM"
20.8,9.1,4.4,25.9,12,32,50.6,"NRU"
35.1,43.7,22,41.9,28.1,33.5,44.7,"NPL"
75.6,73.7,86,79.1,70.2,61.1,81.7,"NLD"
54,55,36.7,58.1,45.2,59.4,77.2,"NZL"
43.1,41.7,39.9,39.2,45.9,51.8,41,"NIC"
32.2,32.5,44.4,20.1,21.9,45.5,28.5,"NER"
37.8,26.3,44.6,43.8,19.9,56.7,33.7,"NGA"
20.5,11,4.4,21.8,9.1,29.9,57.9,"NIU"
17.5,19,7,11.3,12.2,27.3,35.6,"PRK"
39.1,37,41.7,33.1,25.4,44.8,57.7,"MKD"
64.6,68.2,58.6,58.2,58.5,64.4,87.1,"NOR"
43.1,35.3,41.1,41.6,25.4,56,65.7,"OMN"
35.5,24.1,41.7,38.7,19.9,49.7,38.7,"PAK"
21.9,8.2,8.8,24.5,11.5,32,56.2,"PLW"
43.7,40.5,44.6,46.4,35.1,35.3,63.8,"PAN"
27.8,10,31.8,34.8,11.6,41.4,38.7,"PNG"
35.7,39.5,34.6,26.8,28.2,35.3,55.9,"PRY"
49.2,43.2,38.3,51.7,45,63,57.7,"PER"
47.6,38.5,63.6,43.8,38.2,49.8,50.3,"PHL"
55.4,50.9,61.7,47.5,48.9,58.9,67.9,"POL"
60.3,52.8,50.5,67.7,55,63,77.3,"PRT"
41.2,33.1,32.7,48,38.8,32.7,68,"QAT"
45.8,48.9,42.8,35.3,36.7,52.4,65.7,"ROU"
44.3,42.9,34.1,50.1,37.6,52.6,51.4,"RUS"
34.2,33.8,36,31.9,24.1,38,43.6,"RWA"
26.4,20.2,14.1,28.9,9.2,30.7,66.1,"WSM"
31.1,22.3,33.9,20.8,16.2,25,80.5,"SMR"
17.7,8.2,2.7,18.7,7.2,33.5,44.6,"STP"
49.3,34.3,74.4,32.6,44.8,50.6,59.7,"SAU"
37.9,25.4,35.1,45.4,18.5,57,48.2,"SEN"
52.3,48.8,46.2,55.1,56.6,49.7,59.2,"SRB"
31.9,9.8,33.4,20.7,19.9,47.1,71.1,"SYC"
38.2,25,45.8,44.8,25.3,52.8,32.8,"SLE"
58.7,56.2,64.5,64.6,41.4,47.3,80.9,"SGP"
47.9,53.5,46,34.1,37.9,52.8,71.5,"SVK"
67.2,67,73.7,63.3,54.9,72.1,73.7,"SVN"
20.7,8.4,8.7,18.7,12.4,40.1,44,"SLB"
16.6,15.8,21.5,17.4,0.3,28.5,15.9,"SOM"
54.8,44.8,81.5,57.7,33,46.3,61.8,"ZAF"
70.2,57.3,92.1,71.5,58.7,64.3,74.1,"KOR"
21.7,22.6,15.9,24.3,13.6,32.6,22.1,"SSD"
65.9,52.9,83,61.9,59.6,61.1,77.1,"ESP"
33.9,24.2,43,26.4,16.9,41.7,56.7,"LKA"
26.2,8.7,15,26.2,7.1,46.4,64.8,"KNA"
35.3,22.8,30.3,42.4,6.3,54.7,62.1,"LCA"
33,20,20.6,29.2,19,58,61.7,"VCT"
26.2,31.8,7,37.3,14.3,37.6,33,"SDN"
36.5,23.3,36.7,47.3,16.5,44.8,52.7,"SUR"
72.1,81.1,86,62.8,49.3,71.3,84.5,"SWE"
67,52.7,59.1,79.3,62.5,65.6,86.2,"CHE"
19.9,18.4,2.7,23,24.4,26.1,29.6,"SYR"
32.3,26.7,24.1,42.9,20.5,42.6,38.2,"TJK"
36.4,33.5,42,36.8,8.2,55.4,44.7,"TZA"
73.2,75.7,81,78.6,70.5,70.9,56.4,"THA"
26,18.2,25.7,30.2,9.7,33.9,41.5,"TLS"
32.5,23.7,46.8,30.4,10,46.3,37.6,"TGO"
25.1,19.8,15,25.1,7.5,33.9,59,"TON"
36.6,28.1,14.7,43.2,23.7,55.1,64.4,"TTO"
33.7,31.7,26.3,39.1,24,31,55.7,"TUN"
52.4,56.9,45.6,49,45.7,64.3,56.5,"TUR"
31.8,31,38.6,26,14.4,39.3,45.1,"TKM"
21.6,13.1,8.7,19.6,12,28.6,58.7,"TUV"
44.3,42.7,50.3,56.5,11.6,65.4,35.5,"UGA"
38,38.1,36.5,34.8,23,55.1,43.3,"UKR"
46.7,49.3,31.6,49.7,22.9,63.4,72.4,"ARE"
77.9,68.3,87.3,91.9,59.8,81.2,74.7,"GBR"
83.5,83.1,98.2,79.7,73.8,85.3,78.2,"USA"
41.3,44,33.5,41.3,24.1,39.3,74.8,"URY"
34.3,42.6,19.4,27.8,16,60.5,47.8,"UZB"
26.1,24.5,15,24.8,6.6,38,57.4,"VUT"
23,23.5,8.7,19.7,12.9,42.2,38.2,"VEN"
49.1,49.5,57.4,43,28.3,64.6,53.4,"VNM"
18.5,15.1,9,19,7.6,40.3,23.5,"YEM"
28.7,24.5,21.9,28.6,20.3,38,44.2,"ZMB"
38.2,31.4,65.6,30.1,14.7,45.9,39.2,"ZWE"
